"Timestamp","What age bracket are you in?","What websites/applications do you think provide recommendations for you?","Are you aware that the items you see on these applications are personalised to satisfy your tastes?","How often do you get recommendations that you think are irrelevant?","How often do you find yourself getting frustrated when you can't find anything you like on these applications?","Would you be willing to tell these applications which items you have consumed in the past to receive better recommendations? "
"2020/05/13 1:48:17 PM GMT+1","18 - 29","Movie/TV Streaming Apps;Music Streaming Apps;E-Commerce Websites;News Websites;Social Media Platforms","Yes","Sometimes","Sometimes","Yes, providing I know that my data is safe"
"2020/05/13 1:59:55 PM GMT+1","18 - 29","Social Media Platforms","Yes","Often","Sometimes","Yes, providing I know that my data is safe"
"2020/05/13 2:05:45 PM GMT+1","18 - 29","Movie/TV Streaming Apps;Music Streaming Apps;E-Commerce Websites;News Websites;Social Media Platforms","Yes","Often","Never","Yes, providing I know that my data is safe"
"2020/05/13 2:11:59 PM GMT+1","18 - 29","Movie/TV Streaming Apps;Music Streaming Apps;E-Commerce Websites;News Websites;Social Media Platforms","Yes","Sometimes","Never","Yes, providing I know that my data is safe"
"2020/05/13 2:15:39 PM GMT+1","18 - 29","Movie/TV Streaming Apps;Music Streaming Apps;News Websites;Social Media Platforms","Yes","Sometimes","Sometimes","No"
"2020/05/13 2:27:21 PM GMT+1","18 - 29","Movie/TV Streaming Apps;Music Streaming Apps;Social Media Platforms","Yes","Sometimes","Never","Yes, providing I know that my data is safe"
"2020/05/13 2:32:24 PM GMT+1","18 - 29","Movie/TV Streaming Apps;Social Media Platforms","Yes","Sometimes","Never","Yes, providing I know that my data is safe"
"2020/05/13 3:13:47 PM GMT+1","18 - 29","Social Media Platforms","Yes","Often","Sometimes","Yes, providing I know that my data is safe"
"2020/05/13 3:25:37 PM GMT+1","18 - 29","Movie/TV Streaming Apps;Music Streaming Apps;E-Commerce Websites;Social Media Platforms","Yes","Sometimes","Sometimes","Yes, providing I know that my data is safe"
"2020/05/13 3:32:56 PM GMT+1","Under 18","E-Commerce Websites;Social Media Platforms","Yes","Sometimes","Often","Yes, providing I know that my data is safe"
"2020/05/13 3:47:26 PM GMT+1","18 - 29","Movie/TV Streaming Apps","Yes","Sometimes","Often","Yes, providing I know that my data is safe"
"2020/05/13 3:51:53 PM GMT+1","18 - 29","Social Media Platforms","Yes","Sometimes","Sometimes","Yes, providing I know that my data is safe"
"2020/05/13 4:21:46 PM GMT+1","18 - 29","Movie/TV Streaming Apps;Music Streaming Apps;E-Commerce Websites;Social Media Platforms","Yes","Sometimes","Never","Yes, providing I know that my data is safe"
"2020/05/13 4:29:02 PM GMT+1","18 - 29","Movie/TV Streaming Apps;E-Commerce Websites;Social Media Platforms","Yes","Sometimes","Never","Yes, providing I know that my data is safe"
"2020/05/13 4:49:48 PM GMT+1","18 - 29","Movie/TV Streaming Apps;News Websites;Social Media Platforms","Yes","Sometimes","Never","No"
"2020/05/13 5:37:07 PM GMT+1","18 - 29","Movie/TV Streaming Apps;Social Media Platforms","Yes","Sometimes","Sometimes","Yes, providing I know that my data is safe"
"2020/05/13 6:42:47 PM GMT+1","18 - 29","Movie/TV Streaming Apps;Music Streaming Apps;E-Commerce Websites;News Websites;Social Media Platforms","Yes","Never","Sometimes","Yes, providing I know that my data is safe"
"2020/05/13 7:13:59 PM GMT+1","18 - 29","Movie/TV Streaming Apps;Music Streaming Apps;Social Media Platforms","Yes","Sometimes","Sometimes","Yes, providing I know that my data is safe"
"2020/05/14 12:10:24 AM GMT+1","18 - 29","Movie/TV Streaming Apps;Social Media Platforms","Yes","Sometimes","Often","Yes, providing I know that my data is safe"
"2020/05/14 11:04:01 AM GMT+1","18 - 29","Movie/TV Streaming Apps;Music Streaming Apps;E-Commerce Websites;Social Media Platforms","Yes","Sometimes","Never","Yes, providing I know that my data is safe"
"2020/05/14 12:31:16 PM GMT+1","18 - 29","Movie/TV Streaming Apps;Music Streaming Apps;E-Commerce Websites;News Websites;Social Media Platforms","Yes","Sometimes","Sometimes","Yes, providing I know that my data is safe"
"2020/05/14 12:38:37 PM GMT+1","18 - 29","Movie/TV Streaming Apps;Music Streaming Apps;Social Media Platforms","Yes","Often","Sometimes","Yes, providing I know that my data is safe"
